  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0408 Airfoil M=0.5% P=40.0% T=8.0%         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -15.000  -1.6770   0.00000  -0.00173  -0.0018   0.0000   0.0000   0.0000   0.0000
 -14.900  -1.6657   0.00000  -0.00172  -0.0019   0.0000   0.0000   0.0000   0.0000
 -14.800  -1.6543   0.00000  -0.00171  -0.0020   0.0000   0.0000   0.0000   0.0000
 -14.700  -1.6430   0.00000  -0.00170  -0.0020   0.0000   0.0000   0.0000   0.0000
 -14.600  -1.6316   0.00000  -0.00168  -0.0021   0.0000   0.0000   0.0000   0.0000
 -14.500  -1.6202   0.00000  -0.00167  -0.0022   0.0000   0.0000   0.0000   0.0000
 -14.400  -1.6089   0.00000  -0.00166  -0.0022   0.0000   0.0000   0.0000   0.0000
 -14.300  -1.5975   0.00000  -0.00165  -0.0023   0.0000   0.0000   0.0000   0.0000
 -14.200  -1.5861   0.00000  -0.00163  -0.0024   0.0000   0.0000   0.0000   0.0000
 -14.100  -1.5747   0.00000  -0.00162  -0.0025   0.0000   0.0000   0.0000   0.0000
 -14.000  -1.5633   0.00000  -0.00161  -0.0025   0.0000   0.0000   0.0000   0.0000
 -13.900  -1.5519   0.00000  -0.00160  -0.0026   0.0000   0.0000   0.0000   0.0000
 -13.800  -1.5405   0.00000  -0.00159  -0.0027   0.0000   0.0000   0.0000   0.0000
 -13.700  -1.5291   0.00000  -0.00157  -0.0027   0.0000   0.0000   0.0000   0.0000
 -13.600  -1.5177   0.00000  -0.00156  -0.0028   0.0000   0.0000   0.0000   0.0000
 -13.500  -1.5063   0.00000  -0.00155  -0.0029   0.0000   0.0000   0.0000   0.0000
 -13.400  -1.4948   0.00000  -0.00154  -0.0030   0.0000   0.0000   0.0000   0.0000
 -13.300  -1.4834   0.00000  -0.00153  -0.0030   0.0000   0.0000   0.0000   0.0000
 -13.200  -1.4720   0.00000  -0.00152  -0.0031   0.0000   0.0000   0.0000   0.0000
 -13.100  -1.4606   0.00000  -0.00151  -0.0032   0.0000   0.0000   0.0000   0.0000
 -13.000  -1.4491   0.00000  -0.00149  -0.0032   0.0000   0.0000   0.0000   0.0000
 -12.900  -1.4377   0.00000  -0.00148  -0.0033   0.0000   0.0000   0.0000   0.0000
 -12.800  -1.4262   0.00000  -0.00147  -0.0034   0.0000   0.0000   0.0000   0.0000
 -12.700  -1.4148   0.00000  -0.00146  -0.0035   0.0000   0.0000   0.0000   0.0000
 -12.600  -1.4033   0.00000  -0.00145  -0.0035   0.0000   0.0000   0.0000   0.0000
 -12.500  -1.3919   0.00000  -0.00144  -0.0036   0.0000   0.0000   0.0000   0.0000
 -12.400  -1.3804   0.00000  -0.00143  -0.0037   0.0000   0.0000   0.0000   0.0000
 -12.300  -1.3689   0.00000  -0.00142  -0.0038   0.0000   0.0000   0.0000   0.0000
 -12.200  -1.3574   0.00000  -0.00141  -0.0038   0.0000   0.0000   0.0000   0.0000
 -12.100  -1.3460   0.00000  -0.00140  -0.0039   0.0000   0.0000   0.0000   0.0000
 -12.000  -1.3345   0.00000  -0.00139  -0.0040   0.0000   0.0000   0.0000   0.0000
 -11.900  -1.3230   0.00000  -0.00138  -0.0041   0.0000   0.0000   0.0000   0.0000
 -11.800  -1.3115   0.00000  -0.00137  -0.0041   0.0000   0.0000   0.0000   0.0000
 -11.700  -1.3000   0.00000  -0.00136  -0.0042   0.0000   0.0000   0.0000   0.0000
 -11.600  -1.2885   0.00000  -0.00134  -0.0043   0.0000   0.0000   0.0000   0.0000
 -11.500  -1.2770   0.00000  -0.00133  -0.0044   0.0000   0.0000   0.0000   0.0000
 -11.400  -1.2655   0.00000  -0.00132  -0.0044   0.0000   0.0000   0.0000   0.0000
 -11.300  -1.2540   0.00000  -0.00131  -0.0045   0.0000   0.0000   0.0000   0.0000
 -11.200  -1.2425   0.00000  -0.00130  -0.0046   0.0000   0.0000   0.0000   0.0000
 -11.100  -1.2310   0.00000  -0.00129  -0.0047   0.0000   0.0000   0.0000   0.0000
 -11.000  -1.2195   0.00000  -0.00128  -0.0047   0.0000   0.0000   0.0000   0.0000
 -10.900  -1.2079   0.00000  -0.00128  -0.0048   0.0000   0.0000   0.0000   0.0000
 -10.800  -1.1964   0.00000  -0.00127  -0.0049   0.0000   0.0000   0.0000   0.0000
 -10.700  -1.1849   0.00000  -0.00126  -0.0050   0.0000   0.0000   0.0000   0.0000
 -10.600  -1.1733   0.00000  -0.00125  -0.0050   0.0000   0.0000   0.0000   0.0000
 -10.500  -1.1618   0.00000  -0.00124  -0.0051   0.0000   0.0000   0.0000   0.0000
 -10.400  -1.1503   0.00000  -0.00123  -0.0052   0.0000   0.0000   0.0000   0.0000
 -10.300  -1.1387   0.00000  -0.00122  -0.0053   0.0000   0.0000   0.0000   0.0000
 -10.200  -1.1272   0.00000  -0.00121  -0.0053   0.0000   0.0000   0.0000   0.0000
 -10.100  -1.1156   0.00000  -0.00120  -0.0054   0.0000   0.0000   0.0000   0.0000
 -10.000  -1.1041   0.00000  -0.00119  -0.0055   0.0000   0.0000   0.0000   0.0000
  -9.900  -1.0925   0.00000  -0.00118  -0.0056   0.0000   0.0000   0.0000   0.0000
  -9.800  -1.0809   0.00000  -0.00117  -0.0057   0.0000   0.0000   0.0000   0.0000
  -9.700  -1.0694   0.00000  -0.00116  -0.0057   0.0000   0.0000   0.0000   0.0000
  -9.600  -1.0578   0.00000  -0.00116  -0.0058   0.0000   0.0000   0.0000   0.0000
  -9.500  -1.0462   0.00000  -0.00115  -0.0059   0.0000   0.0000   0.0000   0.0000
  -9.400  -1.0347   0.00000  -0.00114  -0.0060   0.0000   0.0000   0.0000   0.0000
  -9.300  -1.0231   0.00000  -0.00113  -0.0060   0.0000   0.0000   0.0000   0.0000
  -9.200  -1.0115   0.00000  -0.00112  -0.0061   0.0000   0.0000   0.0000   0.0000
  -9.100  -0.9999   0.00000  -0.00111  -0.0062   0.0000   0.0000   0.0000   0.0000
  -9.000  -0.9883   0.00000  -0.00111  -0.0063   0.0000   0.0000   0.0000   0.0000
  -8.900  -0.9768   0.00000  -0.00110  -0.0064   0.0000   0.0000   0.0000   0.0000
