  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1408                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -15.000  -1.6169   0.00000  -0.00142  -0.0162   0.0000   0.0000   0.0000   0.0000
 -14.900  -1.6055   0.00000  -0.00141  -0.0162   0.0000   0.0000   0.0000   0.0000
 -14.800  -1.5941   0.00000  -0.00140  -0.0163   0.0000   0.0000   0.0000   0.0000
 -14.700  -1.5828   0.00000  -0.00139  -0.0164   0.0000   0.0000   0.0000   0.0000
 -14.600  -1.5714   0.00000  -0.00138  -0.0164   0.0000   0.0000   0.0000   0.0000
 -14.500  -1.5600   0.00000  -0.00138  -0.0165   0.0000   0.0000   0.0000   0.0000
 -14.400  -1.5486   0.00000  -0.00137  -0.0165   0.0000   0.0000   0.0000   0.0000
 -14.300  -1.5372   0.00000  -0.00136  -0.0166   0.0000   0.0000   0.0000   0.0000
 -14.200  -1.5258   0.00000  -0.00135  -0.0167   0.0000   0.0000   0.0000   0.0000
 -14.100  -1.5144   0.00000  -0.00134  -0.0167   0.0000   0.0000   0.0000   0.0000
 -14.000  -1.5030   0.00000  -0.00133  -0.0168   0.0000   0.0000   0.0000   0.0000
 -13.900  -1.4916   0.00000  -0.00133  -0.0169   0.0000   0.0000   0.0000   0.0000
 -13.800  -1.4801   0.00000  -0.00132  -0.0169   0.0000   0.0000   0.0000   0.0000
 -13.700  -1.4687   0.00000  -0.00131  -0.0170   0.0000   0.0000   0.0000   0.0000
 -13.600  -1.4573   0.00000  -0.00130  -0.0171   0.0000   0.0000   0.0000   0.0000
 -13.500  -1.4459   0.00000  -0.00130  -0.0171   0.0000   0.0000   0.0000   0.0000
 -13.400  -1.4344   0.00000  -0.00129  -0.0172   0.0000   0.0000   0.0000   0.0000
 -13.300  -1.4230   0.00000  -0.00128  -0.0173   0.0000   0.0000   0.0000   0.0000
 -13.200  -1.4115   0.00000  -0.00127  -0.0173   0.0000   0.0000   0.0000   0.0000
 -13.100  -1.4001   0.00000  -0.00126  -0.0174   0.0000   0.0000   0.0000   0.0000
 -13.000  -1.3886   0.00000  -0.00126  -0.0175   0.0000   0.0000   0.0000   0.0000
 -12.900  -1.3772   0.00000  -0.00125  -0.0175   0.0000   0.0000   0.0000   0.0000
 -12.800  -1.3657   0.00000  -0.00124  -0.0176   0.0000   0.0000   0.0000   0.0000
 -12.700  -1.3542   0.00000  -0.00123  -0.0177   0.0000   0.0000   0.0000   0.0000
 -12.600  -1.3428   0.00000  -0.00123  -0.0177   0.0000   0.0000   0.0000   0.0000
 -12.500  -1.3313   0.00000  -0.00122  -0.0178   0.0000   0.0000   0.0000   0.0000
 -12.400  -1.3198   0.00000  -0.00121  -0.0179   0.0000   0.0000   0.0000   0.0000
 -12.300  -1.3083   0.00000  -0.00120  -0.0179   0.0000   0.0000   0.0000   0.0000
 -12.200  -1.2968   0.00000  -0.00120  -0.0180   0.0000   0.0000   0.0000   0.0000
 -12.100  -1.2853   0.00000  -0.00119  -0.0181   0.0000   0.0000   0.0000   0.0000
 -12.000  -1.2738   0.00000  -0.00118  -0.0181   0.0000   0.0000   0.0000   0.0000
 -11.900  -1.2623   0.00000  -0.00118  -0.0182   0.0000   0.0000   0.0000   0.0000
 -11.800  -1.2508   0.00000  -0.00117  -0.0183   0.0000   0.0000   0.0000   0.0000
 -11.700  -1.2393   0.00000  -0.00116  -0.0184   0.0000   0.0000   0.0000   0.0000
 -11.600  -1.2278   0.00000  -0.00115  -0.0184   0.0000   0.0000   0.0000   0.0000
 -11.500  -1.2163   0.00000  -0.00115  -0.0185   0.0000   0.0000   0.0000   0.0000
 -11.400  -1.2048   0.00000  -0.00114  -0.0186   0.0000   0.0000   0.0000   0.0000
 -11.300  -1.1933   0.00000  -0.00113  -0.0186   0.0000   0.0000   0.0000   0.0000
 -11.200  -1.1817   0.00000  -0.00113  -0.0187   0.0000   0.0000   0.0000   0.0000
 -11.100  -1.1702   0.00000  -0.00112  -0.0188   0.0000   0.0000   0.0000   0.0000
 -11.000  -1.1587   0.00000  -0.00111  -0.0188   0.0000   0.0000   0.0000   0.0000
 -10.900  -1.1471   0.00000  -0.00111  -0.0189   0.0000   0.0000   0.0000   0.0000
 -10.800  -1.1356   0.00000  -0.00110  -0.0190   0.0000   0.0000   0.0000   0.0000
 -10.700  -1.1241   0.00000  -0.00109  -0.0191   0.0000   0.0000   0.0000   0.0000
 -10.600  -1.1125   0.00000  -0.00109  -0.0191   0.0000   0.0000   0.0000   0.0000
 -10.500  -1.1010   0.00000  -0.00108  -0.0192   0.0000   0.0000   0.0000   0.0000
 -10.400  -1.0894   0.00000  -0.00107  -0.0193   0.0000   0.0000   0.0000   0.0000
 -10.300  -1.0779   0.00000  -0.00107  -0.0193   0.0000   0.0000   0.0000   0.0000
 -10.200  -1.0663   0.00000  -0.00106  -0.0194   0.0000   0.0000   0.0000   0.0000
 -10.100  -1.0547   0.00000  -0.00106  -0.0195   0.0000   0.0000   0.0000   0.0000
 -10.000  -1.0432   0.00000  -0.00105  -0.0196   0.0000   0.0000   0.0000   0.0000
  -9.900  -1.0316   0.00000  -0.00104  -0.0196   0.0000   0.0000   0.0000   0.0000
  -9.800  -1.0200   0.00000  -0.00104  -0.0197   0.0000   0.0000   0.0000   0.0000
  -9.700  -1.0085   0.00000  -0.00103  -0.0198   0.0000   0.0000   0.0000   0.0000
  -9.600  -0.9969   0.00000  -0.00103  -0.0198   0.0000   0.0000   0.0000   0.0000
  -9.500  -0.9853   0.00000  -0.00102  -0.0199   0.0000   0.0000   0.0000   0.0000
  -9.400  -0.9737   0.00000  -0.00101  -0.0200   0.0000   0.0000   0.0000   0.0000
  -9.300  -0.9621   0.00000  -0.00101  -0.0201   0.0000   0.0000   0.0000   0.0000
  -9.200  -0.9505   0.00000  -0.00100  -0.0201   0.0000   0.0000   0.0000   0.0000
  -9.100  -0.9389   0.00000  -0.00100  -0.0202   0.0000   0.0000   0.0000   0.0000
  -9.000  -0.9274   0.00000  -0.00099  -0.0203   0.0000   0.0000   0.0000   0.0000
  -8.900  -0.9158   0.00000  -0.00099  -0.0204   0.0000   0.0000   0.0000   0.0000
  -8.800  -0.9042   0.00000  -0.00098  -0.0204   0.0000   0.0000   0.0000   0.0000
  -8.700  -0.8925   0.00000  -0.00097  -0.0205   0.0000   0.0000   0.0000   0.0000
  -8.600  -0.8809   0.00000  -0.00097  -0.0206   0.0000   0.0000   0.0000   0.0000
  -8.500  -0.8693   0.00000  -0.00096  -0.0207   0.0000   0.0000   0.0000   0.0000
  -8.400  -0.8577   0.00000  -0.00096  -0.0207   0.0000   0.0000   0.0000   0.0000
  -8.300  -0.8461   0.00000  -0.00095  -0.0208   0.0000   0.0000   0.0000   0.0000
  -8.200  -0.8345   0.00000  -0.00095  -0.0209   0.0000   0.0000   0.0000   0.0000
  -8.100  -0.8229   0.00000  -0.00094  -0.0210   0.0000   0.0000   0.0000   0.0000
  -8.000  -0.8113   0.00000  -0.00094  -0.0210   0.0000   0.0000   0.0000   0.0000
  -7.900  -0.7996   0.00000  -0.00093  -0.0211   0.0000   0.0000   0.0000   0.0000
  -7.800  -0.7880   0.00000  -0.00093  -0.0212   0.0000   0.0000   0.0000   0.0000
  -7.700  -0.7764   0.00000  -0.00092  -0.0213   0.0000   0.0000   0.0000   0.0000
  -7.600  -0.7647   0.00000  -0.00092  -0.0213   0.0000   0.0000   0.0000   0.0000
  -7.500  -0.7531   0.00000  -0.00091  -0.0214   0.0000   0.0000   0.0000   0.0000
  -7.400  -0.7415   0.00000  -0.00091  -0.0215   0.0000   0.0000   0.0000   0.0000
  -7.300  -0.7298   0.00000  -0.00090  -0.0216   0.0000   0.0000   0.0000   0.0000
  -7.200  -0.7182   0.00000  -0.00090  -0.0216   0.0000   0.0000   0.0000   0.0000
  -7.100  -0.7065   0.00000  -0.00089  -0.0217   0.0000   0.0000   0.0000   0.0000
  -7.000  -0.6949   0.00000  -0.00089  -0.0218   0.0000   0.0000   0.0000   0.0000
  -6.900  -0.6833   0.00000  -0.00089  -0.0219   0.0000   0.0000   0.0000   0.0000
  -6.800  -0.6716   0.00000  -0.00088  -0.0220   0.0000   0.0000   0.0000   0.0000
  -6.700  -0.6600   0.00000  -0.00088  -0.0220   0.0000   0.0000   0.0000   0.0000
  -6.600  -0.6483   0.00000  -0.00087  -0.0221   0.0000   0.0000   0.0000   0.0000
  -6.500  -0.6367   0.00000  -0.00087  -0.0222   0.0000   0.0000   0.0000   0.0000
  -6.400  -0.6250   0.00000  -0.00086  -0.0223   0.0000   0.0000   0.0000   0.0000
  -6.300  -0.6133   0.00000  -0.00086  -0.0223   0.0000   0.0000   0.0000   0.0000
  -6.200  -0.6017   0.00000  -0.00086  -0.0224   0.0000   0.0000   0.0000   0.0000
  -6.100  -0.5900   0.00000  -0.00085  -0.0225   0.0000   0.0000   0.0000   0.0000
  -6.000  -0.5784   0.00000  -0.00085  -0.0226   0.0000   0.0000   0.0000   0.0000
  -5.900  -0.5667   0.00000  -0.00084  -0.0227   0.0000   0.0000   0.0000   0.0000
  -5.800  -0.5550   0.00000  -0.00084  -0.0227   0.0000   0.0000   0.0000   0.0000
